Topic,Count,Name,Representation,Representative_Docs
42,28,42_hopkins_hopkinss_letter_oxford,"['hopkins', 'hopkinss', 'letter', 'oxford', 'year', 'manley', 'poet', 'poem', 'gerard manley', 'manley hopkins']","['sonnet includingmost likelyI wake feel fell dark day worse Carrion Comfort letter admit compose letter lengthy send begin letter n Book review journal jesuit study UN paper letter begin compose scrap poetry know bridge eventually Englands Poet Laureate destroy virtually letter write Hopkins period twentyfour year letter finally come possession follow ing Hopkinss death burn want biography write letter survive subse quently publish think Hopkinss letter important meet fate careful preserve occasionally cut name section letter Hopkins regard personal especially Hopkins relate family knowalasthat letter write Hopkins lie die read destroy mother private nature know Hopkins destroy number letter especially', 'Book review UN Lesley J Higgins Michael F Suarez SJ ed Collected Works Gerard Manley Hopkins Volume VII Dublin Notebook Oxford Oxford University Press Pp Hb thirty year ago Fr Gerard Manley Hopkins SJ brush old notebook procure year early student Oxford use teach grade student University College Dublin book Hopkins scholar attain mythic status thank tell Hopkinss life state mind crucial year short life Dublin Notebook avail able thank Oxford University Press oup work firstrate scholar Hopkinss work Leslie Higgins Michael Suarez SJ undoubtedly help well understand particular notebook important understand man give powerful poem write generation see time', 'Book review UN RKR Thornton Catherine Phillips ed Collected Works Gerard Manley Hopkins Volume Correspondence Volume II Correspondence Oxford Oxford University Press Pp ciii blackandwhite halftone Hb half century new edition letter Gerard Manley Hopkins finally available generous volume time Hopkinss correspondence available strictly chrono logical order possible sense Hopkins write write early live large family Oak Hill Hampstead death Dublin age fortyfour late complete biography Hopkins rely orangetan volume publish Claude Colleer Abbotts Letters Gerard Manley Hopkins Robert Bridges slim volume Correspondence Gerard Manley Hopkins Richard Watson Dixon book publish year early revise edition thena year later Letters Gerard']"
43,28,43_teilhard_teilhards_human_consciousness,"['teilhard', 'teilhards', 'human', 'consciousness', 'helminiak', 'brain', 'duffy', 'science', 'god', 'human consciousness']","['Book Reviews UN journal jesuit study Duffy SSJ Teilhards Mysticism see Inner Face Evolution Maryknoll New York Orbis book Pp xiv Pb Teilhards Mysticism timely contribution burgeon area religion science author unusual position write authoritatively physicist scholar french paleontologist visionary Pierre Teilhard de Chardin SJ Duffy professor physics Chestnut Hill College Philadelphia demonstrate interdisciplinary exper tise put forward Teilhards Mysticism teach science humanity course integrate field Duffys argument Teilhards mysticism unusual advocate flight spiritual world instead embrace material world teilhard particular form embrace hard science teilhard approach science spirituality model heal unnece sary harmful divide theology humanity sci ence Duffy', 'present way briefly present Teilhards historical spiritual biography apply Teilhards insight exciting con temporary science insert example art social science refer Teilhards vision Divine evolutionary process Duffy gracefully draw reader Teilhards vision response God world time test vision scien tific development year Teilhards death previous book Teilhard present creatively integrate scientific discovery time unique theology Duffy move teilhard study forward engage Teilhard today far complex understanding cosmos lucid presentation contemporary cosmology strength book instance reader hear string dark matter Duffy make fascinating discovery accessible unlikely read book astrophysic Duffys purpose integrat ing impress reader expertise invite reader world Teilhards eye', 'Teilhard write beginning twentieth century theory evolution relatively new theory string dark matter scientist struggle understand evolution theologian remove implication order feeling excitement possibility new discovery Teilhards day Duffy draw bewilder theory contemporary science challenge read er coax discovery spiritual vision world Duffy give reader taste Teilhards wonder nBook Reviews UN journal jesuit study reduce Teilhards mysticism science religious person overlook aspect Teilhards integral approach Duffy observe awareness art Teilhards mysticism example explore Teilhards affinity music speak directly soul world teilhard appre ciation beauty art affection beautiful explain teilhard bother write poetically consid ere scientific work Human Phenomenon translate Sara']"
44,25,44_emblem_death_daly_emblematic,"['emblem', 'death', 'daly', 'emblematic', 'emblem book', 'emblems', 'motif', 'imago', 'emblem death', 'meaning']","['cleverness poisonous slander tail mouth representation eternity quote Frauenzimmer Gesprächspiele VII readerviewer know give emblem meaning usually intend distil meaning multiple meaning inherent component motif challenge Harsdörffer readily admit judge emblem early thoroughly learn nature quality figure hide depict meaning emblem dif ficult dark quote Frauenzimmer Gesprächspiele IV Daly cite Harsdörffer frequently theory emblem fact theory figura come appear normative standard theory implicitly measure chapter Emblem Inscri ptione Mottoes instance Daly apparently agree Hardörffers notion emblem oppose variable motif harbor single principal meaning emblematic inscriptione form titular lemma motto assist understand emblem inscriptio likely suggest general direction meaning give emblem', 'notion articulate introduc tion emblem tend stir feeling provoke think case educate reader emblem intend stir emotion illiterate reader engage emblem pictorial dimension focus emblem german text feature skeleton death head Daly offer interesting insight german text bilingual emblem book differ slightly Latin meaning order suit particular mindset intend reader largely protestant leaning emblem author result different concern moral application find catholic emblematist Death Beholder Early Modern English Emblems Death Tamara Goeglein posit emblem death early modern England avowedly mean affect beholding reader interpre tative internalize perceive eye Goeglein argue early modern english emblematistsa behold reader writ er illustratorsenvision death', 'construe kind exchange necessity lead specie permutatio alteration transformation character interpretation sambucuss emblem course extend mention inflect say shore basic point emblematic pictura instrument interpretative reading inscriptio subscriptio Daly endorse point view remark contextualization chapter Interpretation Emblems suggest believe interpretation seek contextualize context emblem emblematic motif visual motif encounter emblem context emblem partsperhap lessin appear mean see visual motif relate emblem writer text text pace Daly attention pay text image Emblem Early Modern Europe absence close reading emblem reproduce book produce false impression meaning concern tituli lemmata inscriptiones subscriptione epigram mata commentaria upper hand Open Access author open access article']"
45,25,45_hessus_epistle_poet_poem,"['hessus', 'epistle', 'poet', 'poem', 'poetic', 'eobanus', 'heroic', 'heroides', 'christian', 'ovid']","['Eobanus Hessus Ecclesiae Afflictae Epistola ad Lutherum Haguenau n p text insert later edition Eobans Heroides Hessus Poetic Works tw o poem example Jesus God Father write receive letter edition publish german translation Eobanus Hessus Dichtungen Lateinisch und Deutsch ed Harry Vredeveld vol Dichtungen der Jahre Bern Lang preface quote vv English transla tion Dörrie allo ws quick overview different structure Der heroische Brief Berlin de Gruyter contestably claim Hessus small change text follow verse Hessus Dichtungen vv Non ita falsa taman nequeant ut vera videri Veraque si quaedam dempseris esse queant false truth true awayIn Hessus join Martin Luther', 'elegy female voice Late Antiquity eroticized morally ambiguous depiction heroine cause severe problem christian authority poet later century poet long daunt fact genre elegiac epistle imitate Ovids Heroides spawn latin poem poem publish year period artistically elaborate innovative collection exclusively compose catholic poet member Society r eplacing Heroines Helius Eobanus Hessus Andreas Alenus medieval time noteworthy contribution classical heroic epistolography forward renaissance come time realm german Humanism key figure Christianization genre Eoban Koch follow learn fashion time latinize Helius Eobanus Hessus study Erfurt young man find employment eastern Prussia study law compose remarkable poetical work twentyfour elegy call Heroidum Christianarum', 'Schoeck Binghampton Medieval Renaissance Texts Studies Quotation par aphrase Hessus Poetic Works Hessus Poetic Works dwell poetic philosophical religious realm antiquity exten sively apply italian Renaissance poet circle expire turn century poet know closely watch church authority Eobanus Hessus aware literary theological discussion preface heroic letter expressly reject Marullus ally wing italian Renaissance Christian Humanists Macarius Muzius preface epic poem De triumpho Christi present distinct poetic christian poetry classical form state Holy Scripture basis main source modern Eoban entirely stick prescription replace ovid pagan heroine queen princess woman christian tradi tion fact Virgin Mary Epist Mary Magdalene trace Book Books']"
46,25,46_lubac_de lubac_de lubacs_lubacs,"['lubac', 'de lubac', 'de lubacs', 'lubacs', 'grace', 'nature', 'de', 'gilson', 'swafford', 'flipper']","['dictum nature vain neoScholastics define nature term end capable achieve capacity De Lubac contrast describe hu man person create spirit nature selftranscende animate divine spark Swafford note de Lubacs insistence centrality paradox Christian doctrine see neoscholastic rational ism ultimately harmful second book Swafford consider Feingold Longs recent criticism de Lubac Feingolds point closely mirror neoScholastics argue de Lubac crucial mistake interpretation neoscholastic theologian mean obediential potency debitum naturae Long argue de Lubac fail grasp theonomic ontology characteristic good neoscholastic tradition natural order draw Gods eternal law true understanding natural order contribute modern secularism antidote Feingold Long insist intelligibility pure nature', 'end Gilson VI December p strong agreement immediately create discreet robust friendship de Lubac Gilson de Lubac p paradox heart accord de Lubac found philosophical basis position Maurice Blondel Gilson claim understand philosopher AixenProvence Gilson reject blondel mix genre de Lubac p maintain delicately balanced idea philosophyif Christianas faith oppose Louvain Thomists Maritains follower theless philosophy threshold Blondel theolo Book Reviews journal jesuit study inspire Blondels patient effort integration de Lubac XIII June p collide Gilsons purely historical position de Lubac p immune doctrinal histori cism de Lubac p last disagreement de Lubac Gilson concern Pierre Teilhard de Chardin scholar', 'Book Reviews journal jesuit study Andrew Dean Swafford Nature Grace New Approach Thomistic Ressourcement Foreword Edward T Oakes SJ Cambridge James Clarke Co Pp xiv Pb Nature Grace New Approach Thomistic Ressourcement Andrew Dean Swafford provide primer key twentiethcentury theological de bate specifically nature grace inaugurate Jesuit Henri de Lubacs work Surnaturel Études historique Paris Aubier Swafford prove deft guide explain de Lubacs argument human person natural desire beatific vision examine recent critique de Lubac Lawrence Feingold Natural Desire God accord St Thomas Aquinas Interpreters Rome Apollinare Studi Steven long Natura Pura Recovery Nature Doctrine Grace New York Fordham University']"
47,23,47_palmeiro_asia_wiessala_portuguese,"['palmeiro', 'asia', 'wiessala', 'portuguese', 'visitor', 'exchange', 'brockey', 'orientalism', 'galleon', 'trade']","['practice implicit criticism aspect accommodation temper visitor prag matism prudence visitation conclude Palmeiro shift attention economic mat ter broad strategic vision East Asia support mission increasingly financial strain result japanese persecution dutch competitor Portuguese independent reliable source income necessary visitor approve purchase local vessel societys employ trading porcelain silk good China Southeast Asia create true Jesuit commercial enter prise tradition continue eighteenth century enterprise addition support chinese japanese province encourage expansion mission Southeast Asia especially Tonkin Cochinchina Palmeiro minor potentate head trading company leader diplomatic corps receive court Southeast Asia relative success Southeast Asia counterbalance tragic denouement Japan score priest', 'Book Reviews journal jesuit study UN Georg Wiessala European Studies Asia Contours Discipline London New York Routledge Pp ixxi Hb Georg Wiessalas European Studies Asia Contours Discipline examine exchange knowledge Europe Asia perspective discipline history education book divide part Theoretical Aspects Historical Predecessors Contemporary Representations Actors teach Europe Asia Case Studies central asian exchange network good idea portuguese maritime empire Jesuit missionary enterprise finally network premodern Siam Japan Europe historical context Wiessala examine precursor european study Asia Wiessala merely focus material good period region emphasize role religious actor establish meeting dialogue culture people Europe Asia effort buddhist monk Jesuit priest', 'figure early seventeenth centurys Jesuit enterprise deserve large place societys history generally Christianity Asia Palmeiro remain unknown small circle specialist close reading Palmeiros report letter superior Europe Brockey open vista farflung Jesuit mis sion maritime Asia Mozambique Goa Malabar Tonkin Cochinchina Macao Beijing ultimately Japan book divide part inside Empire empire stand Portugal Estado da Índia empire edge chapter inside Empire offer context need understand role visi tor Jesuit order portuguese history activity Palmeiro visitor period interact governmental ecclesiastical structure Lisbon South Asia India Palmeiro conduct extensive visitation troubled bankrupt province Malabar headquarter southwestern port Cochin comprise Coromandel Coast island']"
48,23,48_rhetorical_rhetoric_omalley_renaissance,"['rhetorical', 'rhetoric', 'omalley', 'renaissance', 'jesuit', 'preach', 'principle', 'experiencias', 'jesuits', 'accommodation']","['publish study serve thoroughgoing revision Jesuit generation prevail stereotype CounterReformation Tridentine Baroque militiathe Popes MarinesOMalley return Jesuits Renaissance Humanist origin half sixteenth century reread rhetorical dimension Jesuit ministriesto adapt say time circumstance personsembrace explicit need preach lecturing casuistical moral calculation basic principle ministry explicitly identify rhetorical OMalley attention diversity person variety region contingent time liness mean reflect broad accommodation audience locality temporality mark Jesuit pastoral stylethe irreducibly rhe torical dimension vision view approach quickly n Recent Works Jesuit Philosophy Journal Jesuit Studies Stephen Toulmin Cosmopolis Hidden Agenda Modernity Chicago University Chicago Press emphasis Toulmin Albert R Jonsen Abuse Casuistry history', 'Moral Reasoning Berkeley University California Press Compar e John Deweys Gifford lecture Dewey Quest Certainty Study Relation Knowledge Action New York Minton Balch Spiritual Exercises emphasis experiencias Jesuit training preach pedagogy mission strategy somewhat fortuitously OMalleys work immediately precede Stephen Toulmins Cosmopolis Hidden Agenda Modernity OMalley guide principle toulminstemming early study casuistrywas recover value pastoral practical discipline question rational adequacy timely time concrete abstract local general particular universal concern people work center practical pastoral activity mean opposed binariesrhetoriclogic oralwritten par ticularuniversal localgeneral timelytimelesstoulmin recast trajec tory modernity era Renaissance take rhetoric epistemological paradigm CounterRenaissance ie effect Thirty Years War center', 'rational adequacy timely timeless concrete abstract local general particular universal concern people work center practical pastoral activity mattersnotably practical pastoralthe objective human constitute matter objectivity well attain concrete abstract version modern toulmin see recover postmodern OMalley s rhetorical principle Accommodation Synopsis OMalleys Jesuits rhetorical dimension vividly mark Jesuits man sixteenth century rhetorical dimension Jesuits ministriesto adapt say time circumstance personstranscende rhetorical need preach lecturing OMalley identify dimension basic principle ministry explicitly identify rhetorical constitution Society Jesus order foundational document identify principle hallmark way proceed general ought instruct way proceed proper member Society associate great diversity person varied region foresee journal']"
49,23,49_ellacuría_ellacurías_romero_civilization,"['ellacuría', 'ellacurías', 'romero', 'civilization', 'poor', 'liberation', 'salvador', 'poverty', 'civilization poverty', 'ignacio ellacuría']","['UNMichael E Lee ed Ignacio Ellacuría Essays History Liberation Salvation Maryknoll Orbis book Pp vii Pb bestknown fact Ignacio Ellacuría assassinate Universidad Centroamericana José Simeon Cañas uca San Salvador Jesuits Julia Elba Ramos cook seminarians liv ing near uca teenage daughter Celina comparable case easy fixate death mistake real legacy die die point Ellacuría make Jesus pertinent understand life death Jesus die inseparable kill kill certain priority die essay volume help englishspeake reader begin process come term Ellacurías life think death Michael E Lees introduction help contextualize essay themati cally historically term note key influ ence Ellacurías think eg Karl', 'principle humanization make universal satisfaction basic need principle development growth share solidarity foundation humanization speak preferential option poor role poor exclude salvation history Rodolfo Cardenal write way Ellacuría analyze light crucifixion Jesus people soteriological dimension reality poor poverty development reflection world cruci fied people Ellacuría owe Vatican ii latin american bishop meeting Medellín Puebla especially Archbishop Romero christian community El Salvador Ellacuría poor dispossess exclude rich powerful poor subject liberation salvation poor spirit resist overcome Analyzing Ellacurías eschatol ogy Cardenal write simply powerless weak victim justice hand powerful poor person prefer God Ellacuría understand class conflict scandalize class struggle likewise', 'Book Reviews journal jesuit study UNJ Matthew Ashley Kevin Burke SJ Rodolfo Cardenal SJ ed Grammar Justice Legacy Ignacio Ellacuría Maryknoll ny Orbis book Pp xvi Pb Martin Maier write chapter collection belong prophet sense fundamental phenomenon indicative crisis hist orical change Ignacio Ellacuría prophet sense stand epochal change aware need model civilization poverty Grammar Justice challenge englishlanguage reader world face today global reality responsibility common evil reality Maier cite Ellacuría remark people live poorly com mit civilization poverty counter globally destructive civilization accumulation wealth book emerge El Salvador gathering Interna tional Colloquium Thought Ignacio Ellacuría sixteen chapter plus introduction']"
50,22,50_ottoman_french_istanbul_ambassador,"['ottoman', 'french', 'istanbul', 'ambassador', 'venetian', 'mission', 'empire', 'missionary', 'césy', 'order']","['Loukaris Congregation de Propaganda Fide national identity vocation Istanbul Ottoman Empire Greek Orthodox Church Jesuit mission beginning seventeenth century period effervescence french province Society Jesus mark particularly opening mission jurisdiction North America Ottoman Empire contrast Canada french Jesuits secure exclusivity missionary relative independence roman curia long period Mediterranean Jesuits constantly encounter member order nationality require negotiate initiative directive Rome political commercial interest european christian state active region particularly France result bilateral trading contract know Ottoman Capitulations set protector Latins Ottoman Porte attempt impose maintain diplomatic primacy Venice England Dutch journal jesuit study UNUniversitaires de France Les limit du patronage français', 'Empire consider snapshot focus foundational period mission Istanbul roughly second deal event year time significant crisis temporary expulsion Jesuits mission Istanbul crystallize Jesuit french discourse legitimate mission Ottoman Empire time confirm fix coordinate paneuropean anti Jesuit discourse episode foundation crisis illustrate vividly multilayere last tension French Venetians hierarchy Greek Orthodox Church western missionary missionary belong different catholic order roman church centralism statefunde reli gious initiative case study choose document French Jesuit missionary arduous quest identity appropriate tangle political religious context conflict originate exclu sively outside order reveal multiple layer power source tension leave considerable space individual action inter nal dissent', 'koninklijke brill nv leiden doi UNjournal jesuit study brillcomjjs Conflicting vision Jesuit Missions Ottoman Empire Adina Ruiu phd candidate History Université de Montréal École des Hautes Études en Sciences Sociales Paris adinaruiugmailcom Abstract beginning result Capitulations conclude France Ottoman Empire French Jesuits launch missionary work Istanbul protect french ambassador French Jesuits define french subject catholic missionary experience new compli cat geopolitical context tension core order identity France Europe intricate story French Jesuit mission Ottoman Empire consider snapshot focus foun dational period mission Istanbul roughly second deal temporary suspension Jesuits mission Istanbul episode illustrate multilayere last tension French Venetians hierarchy Greek']"
51,22,51_magic_witchcraft_witch_delrio,"['magic', 'witchcraft', 'witch', 'delrio', 'magic witchcraft', 'demonology', 'collins', 'supernatural', 'book', 'witch craft']","['specialism confuse anothercollin describe siloing scholarship evernar rowing discipline subdiscipline review length possible justice essay attempt evaluation instead review survey content methodology volume comment selection individual contribution volume divide chronological geographical section begin antiquity section subdivide chapter consider ancient Near East Egypt GrecoRoman world second section cover early Latin West include consider ation magic Roman Empire early church chapter entitle Parallel Traditions consider expression magic byzantine islamic jewish world fourth section consider magic late Middle Ages title Common Magic wise describe folk magic learn magic diabolic magic especially pleased Collins choose include chapter Helen Parish Magic Priestcraft Reformers Reformation deal', 'specifically controversy concern magic Reformation period fifth section book Colonial Encounters consider example magic witch craft Spain Mexico British North America Dutch East indie sixth final section Modern West eclectic address twentiethcentury survival traditional belief magic witchcraft avowed aim Collinss volume shed light magic cultural phenomenon West Antiquity present statement n Book Reviews journal jesuit study UN immediately give rise question privilege magic witch craft legitimate consider magic witchcraft understand West single cultural phenomenon study meaningfully long chronological span wisely Collins choose answer question present volume sort library dif ferent approach historiography magic witchcraft allow scholar speak troubling encounter completely', 'feature CounterReformation order Society Jesus distinguish prereformation clergy hostility unauthorized practice construe superstitious determination spread purified form catholic faith whilst magic ancient world Middle Ages early mod ern world generally wellserve scholarship Collins con gratulate defy usual reluctance explore history witchcraft magic final section book espe cially Owen Daviess superb chapter continue belief magic change status magic witchcraft law particularly important contribution field struggle recognition alongside medi eval early modern study David Harveys chapter magic nineteenth century expertly survey interrelationship litera ture occultism theosophy spiritualism Hermetic Order Golden Dawn shed light period history magic nBook Reviews journal jesuit study UN']"
52,22,52_lord_lord jesus_jesus xº_sin,"['lord', 'lord jesus', 'jesus xº', 'sin', 'crux', 'xº', 'implement', 'tear', 'oh', 'skin']","['Loosens set free wound evil bind crime Disciplina disciplina implement beat break Body Lord JESUS Xº wit sign free denunciation suffer ing receive inferno crown crown thorn implement Lord JESUS Xº mock king Head severely attack blow sign sake look evil vanity man send away n child Deus journal jesuit study UN garment clothing strip Lord JESUS Xº order hang crux roughly peel skin tear break savage rod beating bind Undergarment cut flesh stick Crux crux Adam beginning wife Partook fruit maçã tree retribution crime decree die right descendant crux sign implement Lord JESUS Xº hang die order resurrect life', 'graça nail nail nail fix Hands Feet Lord JESUS Xº deep Mercy suffering endure hour implement free suffering iustiça inferno hammer hammer hammer nail mercilessly drive Hand Foot Lord JESUS Xº implement drive inescapable cherishing human being sponja sponja Lord JESUS Xº thirsty crux evil man deep hatred bitter thing Mouth taste implement throw away bitter evil give sweet goodness taste spear pike savagely stick right Lord JESUS Xº blood water implement nourish human being life long bestow Life gloria bamboo bamboo implement sign scorn mock Lord JESUS Xº hold hand simply profit myriad thing world Thirty mon silver coin', 'JESUS bitter mean truly fully taste bitterness sponja deep sweetness esteem worship spear Nossa Senhora oh merciless hateful spear ah Pain suffering sovereign endure life excessive die spear pierce spear grieve mother heart stab right accordingly terribly good karma spear imple ment way open spring life Breast sov ereign esteem worship meaning Passion numerous implement sign way Lord JESUS Xº command Deus Padre hang crux scapegoat crime humanity pitifully withstand suffering ought savor meaning stone pillar stone pillar implement Lord JESUS Xº tie receive thousand stroke rod sign tie pillar Cherishing rope rope implement Lord JESUS Xº mercilessly bind sign']"
53,22,53_auger_catherine_henri_catherines,"['auger', 'catherine', 'henri', 'catherines', 'henris', 'king', 'augers', 'de', 'ultracatholic', 'court']","['de Toulouse vol Paris Veuve Duchesne Open Access Broomhall open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Devoted Politics Jesuits Elite Catholic Women journal jesuit study uncoauthore Auger castigate catherine politic Jesuit pro tagonist look france lead man ambitious Guise dynasty sympathetic heirapparent Henri support politicoreligious view Catherines conciliatory influence claim kingdom fall disaster evidently vocal individual Society give scant consideration prospect groom Catherine potential ally catherine cautious response reflect grow influ ence Auger son Henri widespread traction view populace relationship forge ultracatholic nobility Society Jesus Augers compelling oratory popularity require careful management Catherine Etienne Pasquier', 'fervor determination restore catholic faith domain indicate allegiance ultracatholic faction Catherine come term Auger Master Heymont letter explore section Master Heymont Politics Dévôte September Catherine tour south french kingdom hope quell tension Huguenots Catholics region Bordeaux seek enforce dissolution catholic confraternitie leaguesa requirement Peace Bergerac meet sig nificant local resistance unusually reveal Catherines letter Henri iii french king Émond Auger come assis tance Catherine explain auger sermon support crowns edict hear lead catholic dignitary pleased Maintenon arrive morning hear sermon Master Hémon Auger take great pleasure great path open follow ser vice God obedience volte face Auger considerable oratorical power', 'ask Ferrier insist instruction Auger thing heart Catherines strategy Auger distance fail November make arrangement pre sentation gift tell correspondent trepi dation master Esmond commence path Auger return court Henris favor Catherine fear english ambassador report Catherine cry presence Augers influence son Henri go retreat Capuchins March write secretary state Nicolas Neufville de Villeroy press important show June Lettres dAuger de Gislen seigneur de Busbec ambassadeur de lEmpereur Rodolphe ii aupre de Henri iii roi de France écrite à lempereur son maître Archives curieuse de lhistoire de France ugust Gustave Baguenault de Puchesse ed Lettres de Catherine de Médicis vol']"
54,21,54_kongo_angola_african_kongolese,"['kongo', 'angola', 'african', 'kongolese', 'conquest', 'portuguese', 'christianity', 'kongos', 'dias de', 'portugal']","['Angola initially militarily dependent Kongos assistance Jesuits dependent kongolese version Christianity clear choice vocabulary Kimbundu catechism sponsor oversaw colonial situation Angola jesuit willing accept idea conversion sword notably tolerant african religious inclusion Angola Kongo contrast approach particularly evident jesuit reopen mission Kongo Keywords Angola Kingdom Kongo jesuit missionary work evangelization catechism colonialism Portugal author hold phd african history mi Political Science University California Los Angeles UCLA author book include winner Herskovits Prize Central Africans Atlantic Creoles Foundation journal jesuit study UNThe Jesuit involvement West Central Africa form interesting test nature missionary work conversion colonial noncolonial setting early modern world West', 'great pomp include number kongolese participant addition installation ceremony ritualistic burning country idol cere monious conversion quickly considerable politi cal expediency characterize advance portuguese rule Angola military aid Kongo important country play substantial role christian evangelization Angola dependency journal jesuit study Diog o da Costa Superior General March MMA Thornton Kingdom Kongo CounterReformation Social Sciences mission Diog o da Costa Jesuit Superior General March MMA Angola mission Kongo symbolically mark Rome elevate Kongos capital São Salvador seat bishop Kongo Angola place nascent Angolan church nominal control Kongo bishop cathedral locate Kongos ascendancy reli gious matter symbolic real Portugal claim right', 'Thornton Cultural history Atlantic World Cambridge Cambridge University Press n Conquest Theology journal jesuit study Thornt AfroChristian Syncretism Kingdom Kongo Journal African history close inspection surprising similarity mission explain countervail factor set african case apart Jesuit mission part early modern world contrast society mute fact Jesuits encounter Kongo Kongo subsequently participate conquest Angola portuguese ally crucial formative period new colony result mission closely link impact early conjunction continuation era Angolas conquest vital development mission remained link Kongo Portugal major fall lead war J esuit Kongo Angola conversion Kongo Christianity remarkable accomplishment early modern Catholic Church year contact Portuguese follow brief']"
55,21,55_jesuit_history_jesuit history_mission,"['jesuit', 'history', 'jesuit history', 'mission', 'field', 'jesuit studies', 'study', 'china', 'jesuits', 'missionary']","['study history science international law military history perform art archaeology scholarship Jesuit history recently abundant Journal Jesuit Studies aim help scholar find bearing rapidly grow field study issue journal con tain substantial book review section detail intro duction book review section issue fourth issue include recent bibliography Additionally subscriber able access online comprehensive bibliographical database time JJS target area scholarship Jesuit history broad context lamentably neglect mission JJS enhance foundation monograph series major academic publisher specifically dedicate history Society JesusBrills Series Jesuit Studies officially launch bicentennial Jesuits worldwide restoration order fulfill mission begin issue dedicate review recent historiography jesuit goal', 'field blossom recent year Sheila Rabin point study famous figure Clavius Kircher Ricci exhaust Journal Jesuit Studies Brills book series Jesuit Studies wish rise challenge present current state scholarship near future go publish important book fill historiographical gap mention essay follow inaugu rate book series collection essay Jesuit history Saints Devils Journal Jesuit Studies Incarnate dean field John W OMalley follow volume history Jesuit historiography history Jesuit mission Ethiopia Jesuits early european art Japan restoration Jesuits Colombia american midWest finance Jesuit mission China generalate Acquaviva twentiethcentury Jesuit philosopher forth like Yasmins Haskell proposal online annotate Parnassus Societatis Jesu twentyfirst century', 'koninklijke brill nv leiden doi Journal Jesuit Studies Jesuit Foreign Missions Historiographical Essay Ronnie Pochia Hsia Edwin Erle Sparks Professor History Pennsylvania State University Department History University Park PA USA Abstract review recent scholarship early modern Jesuit mission essay offer reflection achievement desiderata current trend research book discuss include study Jesuit mission China Matteo Ricci finance eighteenthcentury Madurai mission India debate indigenous mis sion peruvian province sixteenth early seventeenth century print book culture Jesuits european mission finally series study Germanspeaking Jesuit missionary Brazil Chile New Granada Keywords Jesuit mission conversion historiography China Peru print India Brazil Chile New Granada Matteo']"
56,21,56_lonergans_lonergan_matrix_raymaker,"['lonergans', 'lonergan', 'matrix', 'raymaker', 'mccarthy', 'social', 'raymakers', 'social concern', 'insight', 'crisis']","['different light book consist chapter bracket introduction conclusion chapter walk reader stage Lonergans life think chronological sequence highlight topic relevant Whelans social concern thesis chapter describe Robert Dorans extension speak implementation Lonergans thoughtbook Reviews n Book Reviews journal jesuit study Whelan describe book intellectual biography style biographical account Lonergans social concern different thing redeem History fact notfullyunified amal gam bothtoo abbreviate strategically selective fullscale intellectual biography ambitious detailed mere overview valuable Lonergan scholar neophyte theme book take pain Lonergans life work animate profound social concern b conceive option poor enlarge deepen reference Lonergans work point obscure implausible expose surveylevel treatment', 'book Raymaker live work Japan twentyfive year end ad extra gesture serve primary agenda reverse GEMgoneastray syndrome lamentable inability Lonergan work address lack organization well fail tap gem unmet potential bad confine Lonergan Book Reviews journal jesuit study western ivory tower theology philosophy department Lonergan scholar inactive effort institutes web site publish endeavor center like ad hoc uncoordinate Lonergans pass lack leadership recognize Lonergan scholar call inclined collaboration Raymaker address proposal coalition willing igema propose unorganized diaspora forward Raymaker develop proposal chapter devoted call feedback matrix draw bit Lonergan concept well tell feedback matrix raymaker brainchild enthusiastic scope matrix dynamic', 'John Raymaker empower Bernard Lonergans Legacy implement Ethos Inquiryand Global Ethics Lanham University Press America Pp Hb John Raymaker active Lonergan study earn phd Marquette University currently moderator Lonergan Forum serve faculty Global Ministries University fifth book publish Lonergan past year relate Lonergans legacy Pope John Paul II Zen climate change Buddhist christian ethic text work familiar vein Lonergan scholar seek way engage broad culture regard Lonergans break achievement present volume unique addition literature derive Raymakers start point complaint colleague unorganized address problem Raymaker develop idea feedback matrix lay groundwork believe necessary step invest advance Lonergans legacy formation interdisciplinary committee']"
